,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,orientation,perimeter,intensity_mean
0,2,748.0,10.167112299465241,319.57085561497325,44.01705250958973,22.713838508964056,1.5459792114391835,128.7462120245875,218.5614973262032
1,26,620.0,192.9806451612903,296.5709677419355,32.72401423111116,24.46420808874725,0.023492552475224776,97.9827560572969,231.29193548387096
2,35,434.0,74.16589861751152,181.64976958525347,26.58407153827928,21.10254442136918,-0.036671867965640224,82.42640687119284,222.96543778801842
3,41,300.0,123.86,376.0733333333333,24.379388523279417,17.127534482616408,0.6069524002726018,77.32590180780453,229.94666666666666
4,42,546.0,126.4908424908425,270.6739926739927,30.746107880249937,22.682566555716136,0.727299294705481,88.08326112068524,231.22527472527472
5,46,263.0,140.3079847908745,322.7528517110266,20.101449170701763,17.16503048700471,-1.3107334994225779,62.42640687119285,231.22053231939162
6,47,493.0,151.43002028397567,380.3630831643002,38.71334673139558,17.061573014448516,0.366912015643034,107.05382386916239,229.28194726166328
7,50,403.0,158.68238213399505,292.62034739454094,26.001979692700697,20.328727794146754,0.5160467318048758,79.7401153701776,230.6153846153846
8,55,297.0,166.17171717171718,363.64646464646466,27.166263671418537,14.961025964570036,1.489231985440267,81.15432893255071,227.79124579124579
9,64,311.0,196.63344051446944,381.4405144694534,21.50708565350938,19.64305803616295,0.38152319135607593,70.18376618407356,232.57877813504822
10,68,439.0,210.5512528473804,359.375854214123,31.705387641590914,18.319899622329096,1.4492577392494586,86.91168824543142,229.65148063781322
11,82,345.0,249.01159420289855,293.32173913043476,23.257479199711966,19.145649402896318,0.1076827805079011,73.01219330881976,228.28985507246378
12,84,79.0,4.708860759493671,160.65822784810126,11.323549105064759,9.101131385659027,-1.2890301254377596,33.21320343559643,218.08860759493672
13,85,80.0,5.4125,184.6625,11.1781626407163,9.300735453591525,0.28666108892132086,31.556349186104043,222.8125
14,86,148.0,6.594594594594595,381.9527027027027,14.62305601205538,13.454155385931431,-1.2662693544550645,46.04163056034261,220.5608108108108
15,90,160.0,15.35625,259.99375,16.994942444902623,12.17130565282325,0.9732804464493958,46.04163056034262,225.00625
16,97,163.0,41.77914110429448,299.74233128834356,17.636557307795485,12.447381978523758,-1.1028012025441458,53.94112549695428,223.55828220858896
17,99,250.0,54.224,382.26,21.33631947749688,15.51351201869478,-0.48966673323515647,61.698484809834994,222.548
18,102,197.0,68.8527918781726,376.5989847715736,22.246238823433096,11.773339332444088,1.3761718121654027,59.597979746446654,225.87309644670052
19,103,186.0,80.79569892473118,256.16129032258067,16.258845737194733,14.618675188953159,0.03762252329182683,48.2842712474619,227.58602150537635
20,104,97.0,85.43298969072166,381.9381443298969,14.336187802188363,9.040027572512098,0.9049892277575299,38.62741699796952,220.0721649484536
21,105,130.0,96.06153846153846,160.48461538461538,14.72902602760035,11.331672347691285,-0.20273443200850405,40.62741699796952,227.13846153846154
22,109,83.0,119.79518072289157,173.09638554216866,12.186070469084639,9.045018457623806,0.5954424668191473,34.62741699796952,224.0120481927711
23,110,132.0,122.0909090909091,351.81060606060606,18.006169915985822,10.068501518411384,0.35147993041524467,50.76955262170047,226.43939393939394
24,117,344.0,154.23546511627907,343.65697674418607,31.767768924464196,18.77385740365558,-0.3025706692282912,104.36753236814712,226.57558139534885
25,118,85.0,151.18823529411765,365.0470588235294,14.278420627266643,8.113583289928757,0.5310464537193638,37.45584412271571,223.05882352941177
26,123,229.0,168.4759825327511,327.14410480349346,20.285046847178297,15.96942539510634,-0.23581363818409934,68.08326112068524,226.41484716157206
27,125,116.0,172.0,259.9655172413793,12.829347643239771,11.80630399738312,-0.9874971441167195,41.698484809834994,224.9655172413793
28,126,178.0,175.74157303370785,277.5,17.950523963234076,13.36741057889431,1.2812046591725597,54.76955262170047,224.92696629213484
29,127,78.0,175.10256410256412,205.62820512820514,11.224625751804751,8.957853995129765,0.17852078462168697,30.384776310850235,228.28205128205127
30,128,222.0,178.9144144144144,340.18468468468467,18.438923774184172,15.994112207772593,-0.1954216200750065,64.66904755831213,227.66216216216216
31,132,94.0,180.54255319148936,376.6914893617021,12.48117369938975,9.954597008004543,-1.2208177413987906,36.62741699796952,227.61702127659575
32,135,96.0,183.45833333333334,359.0729166666667,12.9876077137626,9.952011454199864,0.522994031795392,37.45584412271571,226.83333333333334
33,139,87.0,193.68965517241378,276.11494252873564,11.098706626499524,10.217613880034923,-0.8257349986177552,32.970562748477136,228.10344827586206
34,141,154.0,201.25324675324674,315.8961038961039,16.463458556164763,12.453126298209764,0.25254880430388277,52.526911934581186,224.67532467532467
35,145,191.0,212.37696335078533,230.92146596858638,19.748099800123274,13.216538885359686,-1.284017136055756,62.94112549695428,218.3193717277487
36,146,95.0,214.44210526315788,305.22105263157897,13.0342703414255,10.725705601756708,1.072550578484799,43.35533905932738,226.22105263157894
37,150,128.0,224.0078125,280.9921875,16.936459526156074,9.882023355258633,-0.3538792298965155,43.45584412271571,230.1484375
38,151,107.0,224.57943925233644,228.80373831775702,12.980837067678118,10.758836542840411,0.31941385044802706,38.62741699796952,220.0373831775701
39,153,96.0,228.625,318.0208333333333,16.61457954524604,7.617882607626656,0.5690329817068975,39.698484809834994,229.15625
40,157,219.0,241.07305936073058,384.3424657534247,23.88967394558815,12.69656764298739,-0.10942733890336244,62.52691193458119,231.9041095890411
41,160,106.0,243.12264150943398,316.74528301886795,13.140068007558076,10.551913795120807,1.0022540787497523,38.87005768508881,227.6320754716981
42,162,133.0,251.14285714285714,247.0,14.44653366391426,12.151660948547544,-0.699954017285357,44.2842712474619,220.6766917293233
43,163,265.0,258.1622641509434,335.58490566037733,26.993579753489723,13.177547948215489,1.3710292343401271,75.74011537017762,225.2754716981132
44,164,140.0,256.49285714285713,360.67857142857144,16.72812851749012,10.812762771434194,0.9651641150463571,44.62741699796952,226.85714285714286
45,166,100.0,267.97,320.31,12.529465854698065,10.469980200361187,-0.27778150532248136,37.21320343559643,226.58
46,169,83.0,268.51807228915663,287.4578313253012,11.208982988871336,9.654873885456704,-0.2060575684750009,32.14213562373095,223.96385542168676
47,177,181.0,335.8618784530387,325.5303867403315,20.69105090894897,11.381974692818375,0.07616510570377921,54.284271247461895,225.38674033149172
48,187,113.0,364.05309734513276,369.82300884955754,13.685916064350673,10.796951287946452,-0.5560066393830692,39.45584412271571,226.20353982300884
49,189,126.0,380.8253968253968,375.6031746031746,19.02056087257528,9.149802947290206,-0.8082398177196075,48.76955262170047,223.84126984126985
