region,center_lat,center_lon,center_x,center_y,left_x,right_x,lower_y,top_y
baffin_bay,75,-65,-558819.6999018297,-1535344.5070266852,-1121319.6999,3680.3001,-2535344.50703,-535344.50703
barents_kara_seas,75,54,1613763.7295893377,255595.06512704346,863763.72959,2363763.72959,-494404.93487,1005595.06513
beaufort_sea,75,-135,-1633879.4974707854,-1.0004626483850417e-10,-2383879.49747,-883879.49747,-750000.0,750000.0
bering_strait,65,-170,-2252871.00126016,1577477.257696421,-3002871.00126,-1502871.00126,827477.2577,2327477.2577
chukchi_east_siberian_seas,75,166,-841510.1510123604,1400508.0785195564,-1591510.15101,-91510.15101,650508.07852,2150508.07852
greenland_sea,77,-10,811085.062423745,-1158349.5151987749,136085.06242,1486085.06242,-1991682.84853,-325016.18187
hudson_bay,60,-83,-2045941.7549664532,-2618686.029223734,-2795941.75497,-1295941.75497,-3368686.02922,-1868686.02922
laptev_sea,75,125,283720.19726316165,1609057.1965969198,-466279.80274,1033720.19726,859057.1966,2359057.1966
sea_of_okhostk,58,148,-799890.9468068397,3464708.338152134,-1549890.94681,-49890.94681,2714708.33815,4214708.33815
