,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,orientation,perimeter,intensity_mean
0,2,23175.0,91.35063646170443,58.89445523193096,259.11341142893554,138.0136840234865,-0.3760997553338806,987.6782822743016,164.36444444444444
1,13,750.0,118.03066666666666,164.676,46.31166736562679,24.714883559731653,-1.1880346380622537,144.75230867899737,163.732
2,21,271.0,42.81918819188192,156.8819188191882,24.715531486045798,14.823861833690454,0.6055352029375245,72.32590180780451,152.74538745387454
3,31,371.0,110.10512129380054,198.544474393531,33.101004473693635,17.143652029700934,-0.8736153902959397,99.29646455628166,157.33423180592993
4,43,273.0,172.8021978021978,94.0952380952381,22.196833615453563,17.66461431475901,-0.021046477456160072,73.39696961966999,146.65201465201466
5,49,485.0,273.97938144329896,183.4,36.074211443900616,18.102170875726557,0.4445009591148534,112.8528137423857,153.1340206185567
6,51,135.0,6.296296296296297,199.23703703703703,13.741629338882962,12.767039892319012,0.9838549930881376,42.627416997969526,180.27407407407406
7,54,114.0,9.885964912280702,216.81578947368422,18.601306059705053,8.150668378822282,-0.821477649494192,44.2842712474619,160.28070175438597
8,57,279.0,31.473118279569892,251.02508960573476,30.91094031119981,15.843466562754973,-1.5364723504149693,88.8111831820431,160.7741935483871
9,61,100.0,45.62,170.31,11.696849039186738,11.397180465118394,-1.0235291506587432,39.698484809834994,149.67
10,65,389.0,58.64781491002571,149.49614395886888,48.91647357927781,11.840455901503454,1.318595794262951,129.6812408671319,158.43701799485862
11,67,97.0,56.371134020618555,117.5979381443299,11.815662435261153,11.163813949465654,0.3678842401563449,37.21320343559643,151.7835051546392
12,68,82.0,60.609756097560975,177.28048780487805,14.432728926080008,7.833694531420768,1.0338895834773345,38.2842712474619,157.9878048780488
13,78,91.0,118.94505494505495,216.96703296703296,13.092718880590644,9.13564856535491,0.5929586079708661,37.698484809834994,152.95604395604394
14,79,419.0,132.97374701670645,198.1050119331742,36.626958330354434,21.390932937778707,1.4281193003940014,132.99494936611666,156.92840095465394
15,81,103.0,143.18446601941747,163.8252427184466,13.655529514980689,9.844826713309896,-0.4496846652577882,38.62741699796952,159.93203883495147
16,82,81.0,147.23456790123456,98.53086419753086,11.830956662704827,9.109595002709565,0.8194451254221007,34.87005768508881,141.5185185185185
17,83,162.0,156.12345679012347,170.80864197530863,20.366384324673803,11.088216232198368,1.0309523529135733,60.42640687119285,149.6604938271605
18,87,91.0,216.46153846153845,30.516483516483518,14.515963481779032,8.162194901997323,-0.12036565659727881,39.11269837220809,146.57142857142858
19,88,79.0,242.58227848101265,150.1012658227848,10.818389529177233,9.48851030995143,0.07029068593958893,33.45584412271571,161.77215189873417
20,90,113.0,255.93805309734512,201.0353982300885,15.66856472920196,9.47883222714283,0.5631511798236646,43.112698372208094,176.20353982300884
21,92,100.0,259.52,369.18,14.228776862276476,9.451830986827135,0.8490774000025522,41.112698372208094,155.75
