location,soit,landmask,preprocess,extractH5,tracker
greenland_sea-100km_by_100km-20030807-20030808,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20040623-20040624,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20050919-20050920,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20060616-20060617,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20090314-20090315,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20100728-20100729,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20120406-20120407,pass,pass,pass,pass,pass
greenland_sea-100km_by_100km-20120508-20120509,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20130521-20130522,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20150405-20150406,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20150430-20150501,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20150513-20150514,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20160811-20160812,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20170805-20170806,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20180610-20180611,pass,pass,pass,pass,pass
greenland_sea-100km_by_100km-20200318-20200319,pass,pass,pass,pass,fail
greenland_sea-100km_by_100km-20210921-20210922,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20220316-20220317,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20220723-20220724,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20220728-20220729,pass,pass,fail,NA,NA
greenland_sea-100km_by_100km-20220919-20220920,pass,pass,fail,NA,NA
