location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
155-bering_strait-100km-20040620-20040621,69.87844540882928,-168.41938081777187,69.25793,-168.77754,70.49929,-168.03795,-1887500.0,-1787500.0,1162500.0,1262500.0,2004-06-20,2004-06-21
157-bering_strait-100km-20050303-20050304,60.00562854443666,-171.7405620201212,59.40204,-171.91212,60.61059,-171.56162,-2712500.0,-2612500.0,1937500.0,2037500.0,2005-03-03,2005-03-04
158-bering_strait-100km-20050705-20050706,71.11761231909615,-170.13419305691565,70.4914,-170.45962,71.74428,-169.78603,-1737500.0,-1637500.0,1137500.0,1237500.0,2005-07-05,2005-07-06
449-bering_strait-100km-20050709-20050710,72.00893308869686,-164.33789365467393,71.39489,-164.87599,72.62231,-163.76116,-1762500.0,-1662500.0,912500.0,1012500.0,2005-07-09,2005-07-10
443-bering_strait-100km-20070727-20070728,65.87000669388078,-179.61803379527095,65.24543,-179.62795,66.49599,-179.60757,-1937500.0,-1837500.0,1812500.0,1912500.0,2007-07-27,2007-07-28
163-bering_strait-100km-20080418-20080419,58.60837596513459,-169.77314229365865,58.01199,-169.97551,59.20606,-169.56252,-2912500.0,-2812500.0,1937500.0,2037500.0,2008-04-18,2008-04-19
450-bering_strait-100km-20080507-20080508,62.13404812631506,-178.35402250243595,61.5188,-178.39099,62.75087,-178.31532,-2287500.0,-2187500.0,2062500.0,2162500.0,2008-05-07,2008-05-08
165-bering_strait-100km-20090523-20090524,61.824479163964654,-171.17962044797895,61.21689,-171.37482,62.4333,-170.97546,-2562500.0,-2462500.0,1787500.0,1887500.0,2009-05-23,2009-05-24
168-bering_strait-100km-20110319-20110320,62.27074227899072,-177.3523703347078,61.65554,-177.41212,62.88749,-177.2898,-2312500.0,-2212500.0,2012500.0,2112500.0,2011-03-19,2011-03-20
451-bering_strait-100km-20110614-20110615,71.89745002129715,-164.96956947656673,71.2818,-165.4833,72.51258,-164.41908,-1762500.0,-1662500.0,937500.0,1037500.0,2011-06-14,2011-06-15
448-bering_strait-100km-20110715-20110716,66.52820938656589,-162.43498531270703,65.93054,-162.89727,67.12556,-161.94787,-2337500.0,-2237500.0,1137500.0,1237500.0,2011-07-15,2011-07-16
445-bering_strait-100km-20110804-20110805,65.2880031327072,-171.39551840690734,64.67158,-171.61297,65.90547,-171.16659,-2237500.0,-2137500.0,1562500.0,1662500.0,2011-08-04,2011-08-05
170-bering_strait-100km-20120513-20120514,61.96997611243771,-169.13918537836267,61.36567,-169.38034,62.57532,-168.88696,-2612500.0,-2512500.0,1687500.0,1787500.0,2012-05-13,2012-05-14
171-bering_strait-100km-20120523-20120524,62.99920350261355,-168.3565685012383,62.3939,-168.62488,63.60539,-168.07548,-2537500.0,-2437500.0,1587500.0,1687500.0,2012-05-23,2012-05-24
172-bering_strait-100km-20120607-20120608,60.65389165183929,-172.17864789562506,60.0479,-172.34483,61.26126,-172.00514,-2637500.0,-2537500.0,1912500.0,2012500.0,2012-06-07,2012-06-08
176-bering_strait-100km-20130423-20130424,58.23860957981134,-172.80376457091864,57.63854,-172.94481,58.84022,-172.65699,-2837500.0,-2737500.0,2112500.0,2212500.0,2013-04-23,2013-04-24
444-bering_strait-100km-20130806-20130807,74.02713895156538,-164.69386102591014,73.4088,-165.28493,74.64456,-164.0546,-1562500.0,-1462500.0,812500.0,912500.0,2013-08-06,2013-08-07
178-bering_strait-100km-20150320-20150321,63.348725922335845,-173.08877288097534,62.73452,-173.25083,63.96422,-172.91879,-2362500.0,-2262500.0,1762500.0,1862500.0,2015-03-20,2015-03-21
179-bering_strait-100km-20160415-20160416,60.37378491297163,-165.96375653207352,59.78083,-166.2572,60.96753,-165.65777,-2862500.0,-2762500.0,1637500.0,1737500.0,2016-04-15,2016-04-16
187-bering_strait-100km-20180723-20180724,72.59554736559004,-165.44642720928746,71.97741,-165.96376,73.21316,-164.89042,-1687500.0,-1587500.0,912500.0,1012500.0,2018-07-23,2018-07-24
192-bering_strait-100km-20200628-20200629,71.5059284199646,-164.26119856255056,70.89297,-164.78742,72.11827,-163.69829,-1812500.0,-1712500.0,937500.0,1037500.0,2020-06-28,2020-06-29
