location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
049-barents_kara_seas-100km-20030902-20030903,77.38241922904824,75.06858282186246,77.53296,77.95742,77.2009,72.25533,1137500.0,1237500.0,637500.0,737500.0,2003-09-02,2003-09-03
050-barents_kara_seas-100km-20040519-20040520,76.59724556696548,59.39359296849051,76.91348,61.84381,76.25808,57.06131,1362500.0,1462500.0,312500.0,412500.0,2004-05-19,2004-05-20
052-barents_kara_seas-100km-20040916-20040917,80.01651358186676,65.94265054998827,80.26263,69.44395,79.73526,62.6223,962500.0,1062500.0,337500.0,437500.0,2004-09-16,2004-09-17
061-barents_kara_seas-100km-20050718-20050719,79.65342561129911,70.70995378081126,79.84889,74.18081,79.42175,67.38014,962500.0,1062500.0,437500.0,537500.0,2005-07-18,2005-07-19
070-barents_kara_seas-100km-20090302-20090303,76.7504339106868,33.49518467374119,77.28308,35.11201,76.20871,32.00538,1362500.0,1462500.0,-337500.0,-237500.0,2009-03-02,2009-03-03
071-barents_kara_seas-100km-20100311-20100312,77.592012065461,68.47739989209293,77.81393,71.3233,77.34093,65.73871,1187500.0,1287500.0,487500.0,587500.0,2010-03-11,2010-03-12
072-barents_kara_seas-100km-20110510-20110511,77.32023765750544,53.86462338841079,77.68966,56.30993,76.9295,51.5627,1312500.0,1412500.0,162500.0,262500.0,2011-05-10,2011-05-11
073-barents_kara_seas-100km-20110601-20110602,72.61040758093598,62.24145939893998,72.89838,64.16325,72.30404,60.38519,1762500.0,1862500.0,512500.0,612500.0,2011-06-01,2011-06-02
074-barents_kara_seas-100km-20110805-20110806,79.95331911853829,63.019769281777144,80.23017,66.42529,79.64324,59.80838,987500.0,1087500.0,287500.0,387500.0,2011-08-05,2011-08-06
076-barents_kara_seas-100km-20130422-20130423,76.53492076460785,41.57612875506932,77.0099,43.47923,76.04669,39.80557,1412500.0,1512500.0,-137500.0,-37500.0,2013-04-22,2013-04-23
077-barents_kara_seas-100km-20130924-20130925,69.1597208486606,67.20940915821498,69.39628,68.86576,68.9067,65.59233,2062500.0,2162500.0,812500.0,912500.0,2013-09-24,2013-09-25
079-barents_kara_seas-100km-20140501-20140502,76.97767857802384,60.87594650522258,77.27896,63.43495,76.65203,58.43819,1312500.0,1412500.0,337500.0,437500.0,2014-05-01,2014-05-02
080-barents_kara_seas-100km-20140621-20140622,78.28866110333007,37.665621198583295,78.79342,39.69907,77.77093,35.80334,1212500.0,1312500.0,-212500.0,-112500.0,2014-06-21,2014-06-22
081-barents_kara_seas-100km-20140708-20140709,80.18168529276582,49.707852244372226,80.5879,52.7336,79.75068,46.93059,1012500.0,1112500.0,37500.0,137500.0,2014-07-08,2014-07-09
082-barents_kara_seas-100km-20150303-20150304,70.31863356852487,56.04890567165475,70.66582,57.63906,69.95747,54.51602,2062500.0,2162500.0,362500.0,462500.0,2015-03-03,2015-03-04
083-barents_kara_seas-100km-20150426-20150427,79.92187339683146,31.12247019679199,80.47083,33.147,79.36215,29.31001,1012500.0,1112500.0,-312500.0,-212500.0,2015-04-26,2015-04-27
084-barents_kara_seas-100km-20150428-20150429,69.73653112317245,54.40922140811018,70.09851,55.9228,69.3616,52.95077,2137500.0,2237500.0,312500.0,412500.0,2015-04-28,2015-04-29
086-barents_kara_seas-100km-20160829-20160830,68.9526759275163,66.97450799147197,69.19158,68.61138,68.69754,65.37644,2087500.0,2187500.0,812500.0,912500.0,2016-08-29,2016-08-30
089-barents_kara_seas-100km-20170621-20170622,78.58415768279158,57.21571913413086,78.92091,60.04639,78.22155,54.55429,1162500.0,1262500.0,212500.0,312500.0,2017-06-21,2017-06-22
092-barents_kara_seas-100km-20200701-20200702,79.66361897791533,63.83843355798077,79.93234,67.16635,79.36215,60.68999,1012500.0,1112500.0,312500.0,412500.0,2020-07-01,2020-07-02
095-barents_kara_seas-100km-20210825-20210826,68.9526759275163,66.97450799147197,69.19158,68.61138,68.69754,65.37644,2087500.0,2187500.0,812500.0,912500.0,2021-08-25,2021-08-26
