location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
456-hudson_bay-100km-20040626-20040627,63.989106575456034,-88.23217294414394,64.0006,-89.64633,63.96231,-86.82017,-2012500.0,-1912500.0,-2137500.0,-2037500.0,2004-06-26,2004-06-27
296-hudson_bay-100km-20040706-20040707,56.42190772930193,-77.99979032811471,56.54129,-79.06315,56.29176,-76.94475,-2087500.0,-1987500.0,-3187500.0,-3087500.0,2004-07-06,2004-07-07
298-hudson_bay-100km-20050409-20050410,57.853009793119355,-91.98470311215355,57.82611,-93.11699,57.86797,-90.85086,-2662500.0,-2562500.0,-2487500.0,-2387500.0,2005-04-09,2005-04-10
300-hudson_bay-100km-20050613-20050614,63.55458436339211,-84.08193964789238,63.61105,-85.46774,63.48326,-82.70305,-1887500.0,-1787500.0,-2312500.0,-2212500.0,2005-06-13,2005-06-14
301-hudson_bay-100km-20060329-20060330,63.88590190558919,-76.13453331251938,64.02745,-77.50959,63.73006,-74.77557,-1537500.0,-1437500.0,-2512500.0,-2412500.0,2006-03-29,2006-03-30
302-hudson_bay-100km-20060403-20060404,63.95847899545511,-76.820131910619,64.09278,-78.20275,63.80975,-75.45296,-1562500.0,-1462500.0,-2487500.0,-2387500.0,2006-04-03,2006-04-04
453-hudson_bay-100km-20060718-20060719,65.03977915969801,-86.30861401354872,65.07191,-87.78321,64.99167,-84.8389,-1862500.0,-1762500.0,-2112500.0,-2012500.0,2006-07-18,2006-07-19
311-hudson_bay-100km-20070428-20070429,58.31153967621843,-91.72698775048764,58.28721,-92.87677,58.32371,-90.57582,-2612500.0,-2512500.0,-2462500.0,-2362500.0,2007-04-28,2007-04-29
318-hudson_bay-100km-20080813-20080814,65.85750453306764,-83.11174172300531,65.92427,-84.63226,65.77434,-81.60091,-1687500.0,-1587500.0,-2137500.0,-2037500.0,2008-08-13,2008-08-14
319-hudson_bay-100km-20090605-20090606,60.5258812849436,-78.75095568532569,60.6389,-79.97396,60.40017,-77.53824,-1862500.0,-1762500.0,-2762500.0,-2662500.0,2009-06-05,2009-06-06
320-hudson_bay-100km-20090615-20090616,58.31610451313179,-78.40782458970894,58.43201,-79.54009,58.18859,-77.28466,-1987500.0,-1887500.0,-2987500.0,-2887500.0,2009-06-15,2009-06-16
455-hudson_bay-100km-20100524-20100525,58.970952927197125,-82.32758840022045,59.04596,-83.49694,58.88372,-81.16463,-2137500.0,-2037500.0,-2787500.0,-2687500.0,2010-05-24,2010-05-25
452-hudson_bay-100km-20100812-20100813,65.36933163048317,-87.00686799402092,65.39379,-88.50241,65.32863,-85.51539,-1862500.0,-1762500.0,-2062500.0,-1962500.0,2010-08-12,2010-08-13
324-hudson_bay-100km-20110323-20110324,65.33269660448441,-82.13393162710312,65.41011,-83.61844,65.23935,-80.65997,-1687500.0,-1587500.0,-2212500.0,-2112500.0,2011-03-23,2011-03-24
325-hudson_bay-100km-20110327-20110328,64.21239146311544,-77.78068707678064,64.33653,-79.18217,64.07354,-76.3939,-1587500.0,-1487500.0,-2437500.0,-2337500.0,2011-03-27,2011-03-28
454-hudson_bay-100km-20130426-20130427,63.09669372294096,-76.21214708367323,63.2372,-77.54565,62.94237,-74.8937,-1587500.0,-1487500.0,-2587500.0,-2487500.0,2013-04-26,2013-04-27
329-hudson_bay-100km-20130510-20130511,65.68322733009332,-82.78097917513034,65.7536,-84.28941,65.59661,-81.28254,-1687500.0,-1587500.0,-2162500.0,-2062500.0,2013-05-10,2013-05-11
330-hudson_bay-100km-20150720-20150721,56.47584750128901,-79.91346831534622,56.57549,-80.98494,56.36524,-78.84907,-2187500.0,-2087500.0,-3112500.0,-3012500.0,2015-07-20,2015-07-21
334-hudson_bay-100km-20170716-20170717,64.49461435894949,-81.30869246411515,64.58096,-82.74028,64.393,-79.88796,-1712500.0,-1612500.0,-2312500.0,-2212500.0,2017-07-16,2017-07-17
339-hudson_bay-100km-20200509-20200510,62.76903867302275,-83.92041104216152,62.82728,-85.26442,62.69644,-82.58309,-1937500.0,-1837500.0,-2387500.0,-2287500.0,2020-05-09,2020-05-10
340-hudson_bay-100km-20210518-20210519,62.30459183704782,-81.35457746574639,62.39032,-82.66888,62.20496,-80.04937,-1862500.0,-1762500.0,-2512500.0,-2412500.0,2021-05-18,2021-05-19
