location,soit,landmask,preprocess,extractH5,tracker
chukchi-east_siberian_sea-100km_by_100km-20040717-20040718,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20050730-20050731,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20060611-20060612,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20060927-20060928,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20070723-20070724,fail,NA,NA,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20090903-20090904,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20100929-20100930,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20140427-20140428,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20140511-20140512,fail,NA,NA,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20140808-20140809,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20150630-20150701,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20160525-20160526,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20170328-20170329,pass,pass,pass,pass,fail
chukchi-east_siberian_sea-100km_by_100km-20170417-20170418,pass,pass,pass,pass,pass
chukchi-east_siberian_sea-100km_by_100km-20180809-20180810,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20180828-20180829,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20190419-20190420,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20190615-20190616,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20200303-20200304,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20200330-20200331,pass,pass,fail,NA,NA
chukchi-east_siberian_sea-100km_by_100km-20220520-20220521,pass,pass,fail,NA,NA
