location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
baffin_bay-100km_by_100km-20040725-20040726,69.90135406,-65.28920054,70.15782,-66.98525,69.62829,-63.63812,-812499.99995,-712499.99995,-2112499.99961,-2012499.99961,2004-07-25,2004-07-26
baffin_bay-100km_by_100km-20040921-20040922,68.11094967,-73.30075577,68.28347,-74.93151,67.9215,-71.69737,-1187500.00003,-1087500.00003,-2162499.99971,-2062499.99971,2004-09-21,2004-09-22
baffin_bay-100km_by_100km-20050819-20050820,75.68820789,-86.7480544,75.71011,-89.34894,75.63724,-84.16051,-1087500.00035,-987500.00035,-1212500.00038,-1112500.00038,2005-08-19,2005-08-20
baffin_bay-100km_by_100km-20050827-20050828,76.97365651,-93.57633437,76.91748,-96.41879,76.99781,-90.71616,-1112499.99986,-1012499.99986,-987500.00004,-887500.00004,2005-08-27,2005-08-28
baffin_bay-100km_by_100km-20070605-20070606,74.75683661,-64.79887635,75.01877,-67.04591,74.4727,-62.63179,-612499.99998,-512499.99998,-1612500.00033,-1512500.00033,2007-06-05,2007-06-06
baffin_bay-100km_by_100km-20080704-20080705,70.33687935,-63.64559412,70.61014,-65.35834,70.0471,-61.98211,-737500.00005,-637500.00005,-2087500.00039,-1987500.00039,2008-07-04,2008-07-05
baffin_bay-100km_by_100km-20090426-20090427,79.75068046,-69.55045239,79.95857,-73.03385,79.50676,-66.21797,-512499.99995,-412499.99995,-1062499.99985,-962499.99985,2009-04-26,2009-04-27
baffin_bay-100km_by_100km-20110506-20110507,77.71099328,-72.28420729,77.89172,-75.21727,77.49934,-69.44395,-662499.99975,-562499.99975,-1237499.99971,-1137499.99971,2011-05-06,2011-05-07
baffin_bay-100km_by_100km-20120419-20120420,75.63723536,-79.5792876,75.73937,-82.14669,75.50702,-77.05349,-937499.9998,-837499.9998,-1337499.99987,-1237499.99987,2012-04-19,2012-04-20
baffin_bay-100km_by_100km-20120422-20120423,77.20090338,-72.25532837,77.38242,-75.06858,76.98975,-69.52772,-687499.99983,-587499.99983,-1287499.99993,-1187499.99993,2012-04-22,2012-04-23
baffin_bay-100km_by_100km-20130308-20130309,78.20371977,-74.81416274,78.35617,-77.90524,78.01815,-71.81095,-687500.00024,-587500.00024,-1162500.00032,-1062500.00032,2013-03-08,2013-03-09
baffin_bay-100km_by_100km-20140329-20140330,70.09851434,-55.92280472,70.44674,-57.49248,69.73653,-54.40922,-462499.9999,-362499.9999,-2187499.99947,-2087499.99947,2014-03-29,2014-03-30
baffin_bay-100km_by_100km-20150312-20150313,76.05793463,-81.96428929,76.13311,-84.62329,75.95339,-79.33965,-962500.00003,-862500.00003,-1262500.00001,-1162500.00001,2015-03-12,2015-03-13
baffin_bay-100km_by_100km-20160708-20160709,75.97572566,-61.65430638,76.2695,-64.04123,75.65906,-59.37,-487499.99992,-387499.99992,-1512499.99945,-1412499.99945,2016-07-08,2016-07-09
baffin_bay-100km_by_100km-20190523-20190524,73.86538925,-84.2321111,73.91696,-86.53177,73.78835,-81.95094,-1162499.99993,-1062499.99993,-1412500.00001,-1312500.00001,2019-05-23,2019-05-24
baffin_bay-100km_by_100km-20190925-20190926,79.30290332,-76.80938929,79.43171,-80.24758,79.13682,-73.46516,-662500.00016,-562500.00016,-1037500.00017,-937500.00017,2019-09-25,2019-09-26
baffin_bay-100km_by_100km-20210602-20210603,75.67362506,-72.18111109,75.85703,-74.68718,75.46388,-69.74354,-762500.00012,-662500.00012,-1437499.99997,-1337499.99997,2021-06-02,2021-06-03
baffin_bay-100km_by_100km-20210804-20210805,80.35520852,-68.19859051,80.57669,-71.87814,80.09608,-64.69862,-462499.99995,-362499.99995,-1012500.00006,-912500.00006,2021-08-04,2021-08-05
baffin_bay-100km_by_100km-20220530-20220531,75.26078557,-73.36119433,75.43162,-75.8089,75.06405,-70.97439,-812499.99988,-712499.99988,-1462499.99975,-1362499.99975,2022-05-30,2022-05-31
baffin_bay-100km_by_100km-20220617-20220618,74.18734019,-79.95797636,74.28627,-82.28811,74.06296,-77.66091,-1037500.00018,-937500.00018,-1462500.00049,-1362500.00049,2022-06-17,2022-06-18
baffin_bay-100km_by_100km-20220911-20220912,77.80101347,-91.52752544,77.76664,-94.57392,77.80101,-88.47247,-1012499.99994,-912499.99994,-962500.00001,-862500.00001,2022-09-11,2022-09-12
