location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
hudson_bay-100km_by_100km-20030825-20030826,64.72889546,-86.35551049,64.76058,-87.81142,64.68145,-84.9043,-1887499.99991,-1787499.99991,-2137499.9997,-2037499.9997,2003-08-25,2003-08-26
hudson_bay-100km_by_100km-20040706-20040707,56.42190773,-77.99979033,56.54129,-79.06315,56.29176,-76.94475,-2087500.00006,-1987500.00006,-3187499.99986,-3087499.99986,2004-07-06,2004-07-07
hudson_bay-100km_by_100km-20040903-20040904,64.41835989,-86.40123188,64.44961,-87.83892,64.37156,-84.96807,-1912499.9998,-1812499.9998,-2162500.00001,-2062500.00001,2004-09-03,2004-09-04
hudson_bay-100km_by_100km-20050409-20050410,57.85300979,-91.98470311,57.82611,-93.11699,57.86797,-90.85086,-2662500.00018,-2562500.00018,-2487500.00035,-2387500.00035,2005-04-09,2005-04-10
hudson_bay-100km_by_100km-20050613-20050614,63.55458436,-84.08193965,63.61105,-85.46774,63.48326,-82.70305,-1887500.00033,-1787500.00033,-2312500.00023,-2212500.00023,2005-06-13,2005-06-14
hudson_bay-100km_by_100km-20060329-20060330,63.88590191,-76.13453331,64.02745,-77.50959,63.73006,-74.77557,-1537499.99963,-1437499.99963,-2512499.99964,-2412499.99964,2006-03-29,2006-03-30
hudson_bay-100km_by_100km-20060403-20060404,63.958479,-76.82013191,64.09278,-78.20275,63.80975,-75.45296,-1562499.9997,-1462499.9997,-2487499.99958,-2387499.99958,2006-04-03,2006-04-04
hudson_bay-100km_by_100km-20060918-20060919,65.95144752,-85.39551284,65.99333,-86.92667,65.89295,-83.87092,-1762499.99981,-1662499.99981,-2062499.99999,-1962499.99999,2006-09-18,2006-09-19
hudson_bay-100km_by_100km-20070428-20070429,58.31153968,-91.72698775,58.28721,-92.87677,58.32371,-90.57582,-2612499.99966,-2512499.99966,-2462499.99972,-2362499.99972,2007-04-28,2007-04-29
hudson_bay-100km_by_100km-20080813-20080814,65.85750453,-83.11174172,65.92427,-84.63226,65.77434,-81.60091,-1687500.0001,-1587500.0001,-2137500.00036,-2037500.00036,2008-08-13,2008-08-14
hudson_bay-100km_by_100km-20090605-20090606,60.52588128,-78.75095569,60.6389,-79.97396,60.40017,-77.53824,-1862500.00054,-1762500.00054,-2762500.00033,-2662500.00033,2009-06-05,2009-06-06
hudson_bay-100km_by_100km-20090615-20090616,58.31610451,-78.40782459,58.43201,-79.54009,58.18859,-77.28466,-1987500.00022,-1887500.00022,-2987500.0003,-2887500.0003,2009-06-15,2009-06-16
hudson_bay-100km_by_100km-20110323-20110324,65.3326966,-82.13393163,65.41011,-83.61844,65.23935,-80.65997,-1687500.00042,-1587500.00042,-2212500.00032,-2112500.00032,2011-03-23,2011-03-24
hudson_bay-100km_by_100km-20110327-20110328,64.21239146,-77.78068708,64.33653,-79.18217,64.07354,-76.3939,-1587500.00033,-1487500.00033,-2437500.00021,-2337500.00021,2011-03-27,2011-03-28
hudson_bay-100km_by_100km-20130510-20130511,65.68322733,-82.78097918,65.7536,-84.28941,65.59661,-81.28254,-1687500.00019,-1587500.00019,-2162499.99987,-2062499.99987,2013-05-10,2013-05-11
hudson_bay-100km_by_100km-20150720-20150721,56.4758475,-79.91346832,56.57549,-80.98494,56.36524,-78.84907,-2187500.00034,-2087500.00034,-3112499.99995,-3012499.99995,2015-07-20,2015-07-21
hudson_bay-100km_by_100km-20170716-20170717,64.49461436,-81.30869246,64.58096,-82.74028,64.393,-79.88796,-1712499.99977,-1612499.99977,-2312500.00002,-2212500.00002,2017-07-16,2017-07-17
hudson_bay-100km_by_100km-20200509-20200510,62.76903867,-83.92041104,62.82728,-85.26442,62.69644,-82.58309,-1937500.00013,-1837500.00013,-2387500.00034,-2287500.00034,2020-05-09,2020-05-10
hudson_bay-100km_by_100km-20210518-20210519,62.30459184,-81.35457747,62.39032,-82.66888,62.20496,-80.04937,-1862499.99998,-1762499.99998,-2512499.99959,-2412499.99959,2021-05-18,2021-05-19
hudson_bay-100km_by_100km-20210915-20210916,58.58991723,-92.905921,58.55304,-94.06495,58.61453,-91.74451,-2637499.99981,-2537499.99981,-2387499.9998,-2287499.9998,2021-09-15,2021-09-16
hudson_bay-100km_by_100km-20220826-20220827,65.35100649,-86.26049664,65.3836,-87.75426,65.30221,-84.77181,-1837499.99998,-1737499.99998,-2087499.99977,-1987499.99977,2022-08-26,2022-08-27
