location,soit,landmask,preprocess,extractH5,tracker
barents-kara_seas-100km_by_100km-20030902-20030903,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20040519-20040520,fail,NA,NA,NA,NA
barents-kara_seas-100km_by_100km-20040916-20040917,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20050718-20050719,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20090302-20090303,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20100311-20100312,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20110510-20110511,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20110601-20110602,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20110805-20110806,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20130422-20130423,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20130924-20130925,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20140501-20140502,fail,NA,NA,NA,NA
barents-kara_seas-100km_by_100km-20140621-20140622,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20140708-20140709,pass,pass,pass,pass,fail
barents-kara_seas-100km_by_100km-20150303-20150304,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20150426-20150427,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20150428-20150429,pass,pass,pass,pass,pass
barents-kara_seas-100km_by_100km-20160829-20160830,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20170621-20170622,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20200701-20200702,pass,pass,fail,NA,NA
barents-kara_seas-100km_by_100km-20210825-20210826,pass,pass,fail,NA,NA
