location,soit,landmask,preprocess,extractH5,tracker
beaufort_sea-100km_by_100km-20030422-20030423,pass,pass,pass,pass,fail
beaufort_sea-100km_by_100km-20030527-20030528,pass,pass,pass,pass,pass
beaufort_sea-100km_by_100km-20030616-20030617,pass,pass,pass,pass,fail
beaufort_sea-100km_by_100km-20030621-20030622,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20040428-20040429,pass,pass,pass,pass,pass
beaufort_sea-100km_by_100km-20070711-20070712,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20100330-20100331,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20100925-20100926,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20110608-20110609,pass,pass,pass,pass,fail
beaufort_sea-100km_by_100km-20140818-20140819,pass,pass,pass,pass,pass
beaufort_sea-100km_by_100km-20170525-20170526,pass,pass,pass,pass,fail
beaufort_sea-100km_by_100km-20170925-20170926,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20180925-20180926,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20190319-20190320,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20190808-20190809,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20200708-20200709,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20200808-20200809,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20210427-20210428,pass,pass,pass,pass,fail
beaufort_sea-100km_by_100km-20210718-20210719,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20220302-20220303,pass,pass,fail,NA,NA
beaufort_sea-100km_by_100km-20220523-20220524,pass,pass,pass,pass,pass
