,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,orientation,perimeter,intensity_mean
0,46,1640.0,367.85243902439026,120.77378048780488,55.43013059244659,42.59648177520156,-1.012123838457171,230.49242404917499,157.58475609756098
1,67,800.0,193.0775,58.30875,48.76586284217846,22.168655716074422,-0.49339497250177855,144.99494936611666,158.91625
2,73,1374.0,288.59170305676855,193.01237263464338,62.371747325140475,31.832314671670282,-1.2234534933720478,216.97770542341357,160.62154294032024
3,75,792.0,291.1060606060606,132.92424242424244,42.45263624827977,26.287586806466575,-0.058358073448851674,140.99494936611666,157.98737373737373
4,85,861.0,334.00580720092915,72.90592334494774,41.73325362337687,29.188651354295253,-0.8332653556978368,138.16652224137047,155.70383275261324
5,90,627.0,352.1929824561403,9.090909090909092,46.954337240709044,17.9045155367228,-0.14537327740387218,129.61017305526644,158.10526315789474
6,135,286.0,292.3111888111888,46.54895104895105,28.38997277571066,14.547799631172776,-0.8206073866621018,80.8111831820431,152.24475524475525
7,140,280.0,301.6857142857143,70.34285714285714,23.171857090179085,16.292095811499905,-0.3536974170074337,72.32590180780451,150.81428571428572
8,143,361.0,323.2409972299169,24.113573407202217,29.37024170714317,16.276984528314447,-0.37560326160661,86.22539674441617,153.01108033240996
9,144,311.0,322.66559485530547,54.97427652733119,28.940216816392155,14.090944251392848,-0.3654699375566609,75.25483399593904,151.09003215434083
10,146,523.0,338.9636711281071,152.3116634799235,44.6289233787803,19.16456349051395,-1.2796659988204624,128.75230867899737,157.21606118546845
11,151,1127.0,369.2466725820763,41.15527950310559,56.012948239826855,42.57598718947013,0.8904353361077211,233.66399692442877,155.84205856255545
12,156,529.0,368.32514177693764,83.47069943289225,42.5091686000075,19.085291732906104,0.2706943085777512,119.78174593052023,155.3119092627599
13,268,168.0,151.91071428571428,71.98214285714286,19.153703908137462,11.721088939135633,-0.8176435513061209,53.94112549695428,160.25
14,275,106.0,175.03773584905662,49.094339622641506,14.797814968684945,9.952294612730284,0.60478986790683,41.698484809834994,154.66981132075472
15,281,282.0,214.60992907801418,90.43617021276596,24.099888734031207,17.5584317873799,0.5535964814540155,86.5685424949238,154.85106382978722
16,292,95.0,254.68421052631578,126.78947368421052,15.539080339227125,8.43680280028065,0.4447676288920732,41.11269837220809,151.05263157894737
17,296,209.0,277.44976076555025,106.11961722488039,26.646726882634038,10.958745982877703,-0.4790480500493931,69.25483399593904,153.9043062200957
18,299,137.0,279.77372262773724,73.96350364963503,17.51877129387051,10.692292089593263,-0.15220874867870487,49.94112549695428,155.75182481751824
19,300,114.0,279.8157894736842,5.087719298245614,13.857379389805624,11.088557532941968,-0.13610648356848112,39.21320343559643,152.99122807017545
20,303,203.0,288.7241379310345,87.33004926108374,22.735739747839357,12.419891247626843,-1.0765343567507601,64.08326112068524,155.3399014778325
21,306,112.0,293.9017857142857,113.35714285714286,14.079857681354062,10.460382281194763,-1.2717009435732773,41.112698372208094,156.24107142857142
22,312,181.0,313.4696132596685,152.28176795580112,23.63856154581678,10.763128991892094,-0.16186133166910308,65.01219330881976,153.07734806629836
23,316,172.0,321.8953488372093,128.56976744186048,19.20190465630927,12.293362885587776,0.2625364622341699,56.18376618407356,150.58139534883722
24,318,103.0,327.63106796116506,108.67961165048544,16.197543693177952,9.372237890855205,-0.8078567071181761,44.2842712474619,149.11650485436894
25,323,112.0,336.875,37.0,14.731244526892512,10.220309212699249,-1.0153772196343427,42.2842712474619,155.97321428571428
26,327,169.0,346.88757396449705,92.9585798816568,22.93638409788824,10.310576380344818,1.113601722091923,58.76955262170047,148.0
27,341,78.0,368.2307692307692,264.0897435897436,11.620715188610784,9.011593318589203,0.09734209462431632,34.04163056034261,159.8846153846154
28,346,235.0,378.6127659574468,277.20425531914896,31.709211170823636,11.027414962237252,-0.8124658622049388,76.66904755831214,156.99574468085106
29,352,100.0,382.88,197.67,14.079772806454642,9.275084782287458,-0.7536871206845135,38.04163056034262,147.11
