,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,orientation,perimeter,intensity_mean
0,43,358.0,335.68435754189943,9.541899441340782,34.61004884206685,15.471996728044857,0.31119524438562585,95.63961030678928,158.7290502793296
1,68,149.0,148.25503355704697,360.2147651006711,14.73595328046963,13.324015841170459,-0.3765408050206451,46.2842712474619,169.6711409395973
2,102,98.0,313.8673469387755,128.23469387755102,15.277092898070169,9.366605471378287,-0.3523219796790438,49.01219330881976,158.60204081632654
3,103,77.0,319.5194805194805,27.558441558441558,12.190685300041386,8.51594261417273,-0.36221082026996104,34.87005768508881,159.8961038961039
4,110,117.0,334.4957264957265,128.8803418803419,13.75187084857043,11.402065350612752,-0.579594908180892,42.2842712474619,159.04273504273505
5,117,91.0,347.5824175824176,98.87912087912088,13.769302378138446,8.505854195141612,0.5051744312027171,35.21320343559643,161.64835164835165
6,118,203.0,351.0591133004926,112.61576354679804,23.780602519090035,12.63764817827523,-0.594193739221201,71.1543289325507,158.50738916256157
7,119,92.0,349.8478260869565,64.96739130434783,14.936268697082353,8.064867817236875,-1.3112054674454743,36.62741699796952,160.84782608695653
8,123,87.0,366.0689655172414,41.64367816091954,11.787809388734894,10.166307047749294,-0.45881391555517115,36.04163056034261,163.57471264367817
9,127,154.0,372.0064935064935,135.69480519480518,16.109457410481355,13.406031407961434,0.03297306425344808,52.76955262170047,160.5064935064935
10,130,253.0,378.6877470355731,108.79841897233202,25.639672012745155,13.649544804313768,0.2686201560647411,74.66904755831213,156.87747035573122
11,133,245.0,380.5795918367347,153.8734693877551,22.1204757593596,16.71881787726992,1.0830371703571187,81.9827560572969,159.99591836734695
12,136,141.0,382.1843971631206,172.8368794326241,15.65322551863315,12.151220136325687,-0.7234995111844099,51.94112549695428,157.3404255319149
13,137,119.0,383.3109243697479,54.10084033613445,14.199499713911724,10.980158639335276,0.8296542184407956,42.04163056034262,161.81512605042016
