,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,orientation,perimeter,intensity_mean
0,8,1738.0,359.33831990794016,19.1795166858458,73.27705903940858,39.82333216625741,-0.3186237977734882,266.4629867976521,226.36593785960875
1,40,356.0,380.935393258427,52.52808988764045,35.20814935812814,15.158824350115271,1.1064274606646964,95.05382386916237,219.45505617977528
2,65,394.0,323.84517766497464,14.555837563451776,28.772189517881664,23.716853228121533,1.0584575013920912,122.02438661763951,218.62690355329948
3,77,203.0,367.7241379310345,57.48275862068966,18.37269087589355,15.566801980967334,0.012444614768103861,66.32590180780451,214.7783251231527
4,85,86.0,384.6744186046512,41.116279069767444,11.966151844487465,9.331927532577863,0.9543215259608766,32.970562748477136,222.2674418604651
